tile_id,source_image,tile_x,tile_y,width,height,crs,transform,bbox
sentinel2_small_x0_y0,sentinel2_small.tif,0,0,256,256,EPSG:32633,"10.0,0.0,377720.0,0.0,-10.0,5350470.0","377720.0,5347910.0,380280.0,5350470.0"
sentinel2_small_x256_y0,sentinel2_small.tif,256,0,256,256,EPSG:32633,"10.0,0.0,380280.0,0.0,-10.0,5350470.0","380280.0,5347910.0,382840.0,5350470.0"
sentinel2_small_x512_y0,sentinel2_small.tif,512,0,256,256,EPSG:32633,"10.0,0.0,382840.0,0.0,-10.0,5350470.0","382840.0,5347910.0,385400.0,5350470.0"
sentinel2_small_x768_y0,sentinel2_small.tif,768,0,256,256,EPSG:32633,"10.0,0.0,385400.0,0.0,-10.0,5350470.0","385400.0,5347910.0,387960.0,5350470.0"
sentinel2_small_x0_y256,sentinel2_small.tif,0,256,256,256,EPSG:32633,"10.0,0.0,377720.0,0.0,-10.0,5347910.0","377720.0,5345350.0,380280.0,5347910.0"
sentinel2_small_x256_y256,sentinel2_small.tif,256,256,256,256,EPSG:32633,"10.0,0.0,380280.0,0.0,-10.0,5347910.0","380280.0,5345350.0,382840.0,5347910.0"
sentinel2_small_x512_y256,sentinel2_small.tif,512,256,256,256,EPSG:32633,"10.0,0.0,382840.0,0.0,-10.0,5347910.0","382840.0,5345350.0,385400.0,5347910.0"
sentinel2_small_x768_y256,sentinel2_small.tif,768,256,256,256,EPSG:32633,"10.0,0.0,385400.0,0.0,-10.0,5347910.0","385400.0,5345350.0,387960.0,5347910.0"
sentinel2_small_x0_y512,sentinel2_small.tif,0,512,256,256,EPSG:32633,"10.0,0.0,377720.0,0.0,-10.0,5345350.0","377720.0,5342790.0,380280.0,5345350.0"
sentinel2_small_x256_y512,sentinel2_small.tif,256,512,256,256,EPSG:32633,"10.0,0.0,380280.0,0.0,-10.0,5345350.0","380280.0,5342790.0,382840.0,5345350.0"
sentinel2_small_x512_y512,sentinel2_small.tif,512,512,256,256,EPSG:32633,"10.0,0.0,382840.0,0.0,-10.0,5345350.0","382840.0,5342790.0,385400.0,5345350.0"
sentinel2_small_x768_y512,sentinel2_small.tif,768,512,256,256,EPSG:32633,"10.0,0.0,385400.0,0.0,-10.0,5345350.0","385400.0,5342790.0,387960.0,5345350.0"
sentinel2_small_x0_y768,sentinel2_small.tif,0,768,256,256,EPSG:32633,"10.0,0.0,377720.0,0.0,-10.0,5342790.0","377720.0,5340230.0,380280.0,5342790.0"
sentinel2_small_x256_y768,sentinel2_small.tif,256,768,256,256,EPSG:32633,"10.0,0.0,380280.0,0.0,-10.0,5342790.0","380280.0,5340230.0,382840.0,5342790.0"
sentinel2_small_x512_y768,sentinel2_small.tif,512,768,256,256,EPSG:32633,"10.0,0.0,382840.0,0.0,-10.0,5342790.0","382840.0,5340230.0,385400.0,5342790.0"
sentinel2_small_x768_y768,sentinel2_small.tif,768,768,256,256,EPSG:32633,"10.0,0.0,385400.0,0.0,-10.0,5342790.0","385400.0,5340230.0,387960.0,5342790.0"
snapshot-2026-09-12_x0_y0,snapshot-2026-09-12.png,0,0,256,256,unavailable,unavailable,unavailable
snapshot-2026-09-12_x256_y0,snapshot-2026-09-12.png,256,0,256,256,unavailable,unavailable,unavailable
snapshot-2026-09-12_x512_y0,snapshot-2026-09-12.png,512,0,256,256,unavailable,unavailable,unavailable
snapshot-2026-09-12_x0_y256,snapshot-2026-09-12.png,0,256,256,256,unavailable,unavailable,unavailable
snapshot-2026-09-12_x256_y256,snapshot-2026-09-12.png,256,256,256,256,unavailable,unavailable,unavailable
snapshot-2026-09-12_x512_y256,snapshot-2026-09-12.png,512,256,256,256,unavailable,unavailable,unavailable
snapshot-2026-09-12_x0_y512,snapshot-2026-09-12.png,0,512,256,256,unavailable,unavailable,unavailable
snapshot-2026-09-12_x256_y512,snapshot-2026-09-12.png,256,512,256,256,unavailable,unavailable,unavailable
snapshot-2026-09-12_x512_y512,snapshot-2026-09-12.png,512,512,256,256,unavailable,unavailable,unavailable
